Gene,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean
natd1,-0.842126098,0.365446995,-2.304372752,0.021201728,0.710490808,151.0855434
ngdn,-0.875580979,0.377536918,-2.319193006,0.020384574,0.710490808,158.6663237
polr3g,1.594416653,0.690997862,2.307411846,0.021031871,0.710490808,161.5071833
rheb,1.276280397,0.551683745,2.31342759,0.020699142,0.710490808,130.7790874
smad6,1.036802797,0.446665539,2.32120615,0.02027572,0.710490808,199.0999914
trappc9,0.845271196,0.36373107,2.323890549,0.020131361,0.710490808,108.6843146
wdr41,-0.976555443,0.426374294,-2.290371291,0.021999802,0.710490808,97.7871465
zc3h4,0.862736519,0.37201353,2.319099842,0.020389623,0.710490808,303.3595021
zmynd19,1.376855894,0.597860052,2.302973561,0.021280331,0.710490808,112.6924663
znf521,-1.130366445,0.490181259,-2.306017261,0.021109668,0.710490808,64.12550416
LOC109629252,1.885641046,0.825419082,2.284465051,0.022344214,0.717873713,229.5543976
LOC109625047,1.721761141,0.758298077,2.270559814,0.023173639,0.729084339,435.8324189
LOC109634875,4.73314081,2.087701542,2.267153957,0.023380822,0.729084339,92.34168177
LOC109635699,0.760274873,0.334825505,2.270659974,0.02316757,0.729084339,158.9130382
LOC109640930,1.47698179,0.649354294,2.274539191,0.022933588,0.729084339,880.6592441
LOC109641830,3.676801706,1.62122243,2.267919341,0.023334123,0.729084339,125.7056139
LOC109644673,1.074160283,0.472891155,2.271474675,0.023118258,0.729084339,246.2300217
epcam,1.320613529,0.581316764,2.271762335,0.023100869,0.729084339,132.7817055
junb,3.304753566,1.457074804,2.26807406,0.023324693,0.729084339,518.7920985
med4,1.037874338,0.456478842,2.273652669,0.022986878,0.729084339,78.50263941
ddit3,1.268200547,0.559974651,2.264746349,0.023528249,0.731291714,184.4192332
cystm1,1.27480197,0.563831716,2.260961797,0.023761623,0.73614742,407.4672497
LOC109623945,-0.909219747,0.402860023,-2.256912311,0.024013555,0.739649359,190.3276323
bphl,0.760572898,0.33703564,2.256654214,0.02402969,0.739649359,1037.398823
LOC109625980,0.987430524,0.43836572,2.252526781,0.024289002,0.742838652,164.8129947
col1a2,0.891736709,0.395712002,2.253499274,0.024227686,0.742838652,773.8734005
LOC109633365,1.139541722,0.506682767,2.249024036,0.024510967,0.745103131,3395.076977
ivns1abp,1.135623297,0.504969607,2.248894351,0.024519219,0.745103131,4373.936005
LOC109645406,0.741551455,0.330446265,2.244090897,0.024826554,0.745917595,401.6208072
mtr,0.644469681,0.287249142,2.243591319,0.024858708,0.745917595,491.087157
plod3,3.538227573,1.576540439,2.244298646,0.024813193,0.745917595,1531.039385
sik2,1.59915458,0.712327596,2.244970696,0.024770014,0.745917595,234.369657
LOC109625674,-0.746974609,0.333580401,-2.239264076,0.025138739,0.749605769,3053.646533
hspbp1,4.000641494,1.785698407,2.240379158,0.025066318,0.749605769,532.4215028
LOC109638267,0.978627497,0.437445513,2.237141466,0.025277096,0.750359218,190.1681059
isyna1,1.57282448,0.703263403,2.236465703,0.025321282,0.750359218,128.464866
foxf1,-1.003224598,0.449429083,-2.232220022,0.025600425,0.753948311,66.64331549
ralgds,0.770474453,0.345111098,2.232540357,0.025579271,0.753948311,304.674776
LOC109628574,-0.87370903,0.392200944,-2.227707615,0.025900019,0.75577364,302.738852
